size,position,algorithm,time
50000,2,Binaria,99.591
50000,2,Galopante,147.148
50000,3,Secuencial,96223
50000,3,Binaria,105.115
50000,3,Galopante,178.811
50000,4,Secuencial,144820
50000,4,Binaria,133.426
50000,4,Galopante,185.242
55000,0,Secuencial,68.844
55000,0,Binaria,126.722
55000,0,Galopante,57.462
55000,1,Secuencial,42261.1
55000,1,Binaria,129.12
55000,1,Galopante,176.035
55000,2,Secuencial,67279.7
55000,2,Binaria,107.462
55000,2,Galopante,148.238
55000,3,Secuencial,108510
55000,3,Binaria,111.648
55000,3,Galopante,198.93
55000,4,Secuencial,146739
55000,4,Binaria,131.921
55000,4,Galopante,193.73
60000,0,Secuencial,36.932
60000,0,Binaria,107.245
60000,0,Galopante,34.251
60000,1,Secuencial,36561.7
60000,1,Binaria,325.589
60000,1,Galopante,142.8
60000,2,Secuencial,78499.2
60000,2,Binaria,108.458
60000,2,Galopante,151.567
60000,3,Secuencial,112085
60000,3,Binaria,111.01
60000,3,Galopante,180.206
60000,4,Secuencial,156164
60000,4,Binaria,130.422
60000,4,Galopante,192.912
65000,0,Secuencial,38.637
65000,0,Binaria,121.237
65000,0,Galopante,37.687
65000,1,Secuencial,39313.3
65000,1,Binaria,102.724
65000,1,Galopante,133.55
65000,2,Secuencial,82151.5
65000,2,Binaria,106.254
65000,2,Galopante,150.308
65000,3,Secuencial,122941
65000,3,Binaria,115.789
65000,3,Galopante,195.293
65000,4,Secuencial,162065
65000,4,Binaria,114.435
65000,4,Galopante,201.587
70000,0,Secuencial,49.94
70000,0,Binaria,136.433
70000,0,Galopante,46.961
70000,1,Secuencial,50932.6
70000,1,Binaria,158.124
70000,1,Galopante,169.244
70000,2,Secuencial,106375
70000,2,Binaria,165.071
70000,2,Galopante,203.409
70000,3,Secuencial,132356
70000,3,Binaria,112.74
70000,3,Galopante,165.971
70000,4,Secuencial,173345
70000,4,Binaria,104.654
70000,4,Galopante,159.342
75000,0,Secuencial,33.8
75000,0,Binaria,95.1
75000,0,Galopante,33.985
75000,1,Secuencial,45875.9
75000,1,Binaria,122.464
75000,1,Galopante,111.688
75000,2,Secuencial,91016.9
75000,2,Binaria,128.404
75000,2,Galopante,185.215
75000,3,Secuencial,139987
75000,3,Binaria,113.9
75000,3,Galopante,164.995
75000,4,Secuencial,179816
75000,4,Binaria,119.969
75000,4,Galopante,168.674
80000,0,Secuencial,53.044
80000,0,Binaria,116.743
80000,0,Galopante,44.456
80000,1,Secuencial,51458
80000,1,Binaria,113.449
80000,1,Galopante,143.348
80000,2,Secuencial,106217
80000,2,Binaria,134.697
80000,2,Galopante,169.077
80000,3,Secuencial,156905
80000,3,Binaria,137.697
80000,3,Galopante,180.328
80000,4,Secuencial,199475
80000,4,Binaria,111.29
80000,4,Galopante,187.234
85000,0,Secuencial,34.58
85000,0,Binaria,104.345
85000,0,Galopante,34.191
85000,1,Secuencial,54641.4
85000,1,Binaria,126.994
85000,1,Galopante,147.331
85000,2,Secuencial,110079
85000,2,Binaria,127.621
85000,2,Galopante,170.174
85000,3,Secuencial,152136
85000,3,Binaria,113.243
85000,3,Galopante,158.156
85000,4,Secuencial,201446
85000,4,Binaria,110.905
85000,4,Galopante,168.217
90000,0,Secuencial,37.687
90000,0,Binaria,106.689
90000,0,Galopante,35.043
90000,1,Secuencial,64268.9
90000,1,Binaria,130.728
90000,1,Galopante,161.945
90000,2,Secuencial,119899
90000,2,Binaria,136.575
90000,2,Galopante,176.677
90000,3,Secuencial,177169
90000,3,Binaria,133.441
90000,3,Galopante,212.223
90000,4,Secuencial,214333
90000,4,Binaria,108.906
90000,4,Galopante,179.037
95000,0,Secuencial,35.521
95000,0,Binaria,112.237
95000,0,Galopante,35.763
95000,1,Secuencial,60206.9
95000,1,Binaria,125.104
95000,1,Galopante,135.443
95000,2,Secuencial,128529
95000,2,Binaria,132.986
95000,2,Galopante,173.479
95000,3,Secuencial,185113
95000,3,Binaria,131.275
95000,3,Galopante,198.366
95000,4,Secuencial,235090
95000,4,Binaria,119.481
95000,4,Galopante,202.427
100000,0,Secuencial,29.35
100000,0,Binaria,87.109
100000,0,Galopante,31.618
100000,1,Secuencial,65426.1
100000,1,Binaria,129.17
100000,1,Galopante,154.446
100000,2,Secuencial,124457
100000,2,Binaria,122.547
100000,2,Galopante,168.306
100000,3,Secuencial,179264
100000,3,Binaria,112.581
100000,3,Galopante,178.944
100000,4,Secuencial,260697
100000,4,Binaria,156.712
100000,4,Galopante,190.677
5000,0,Secuencial,46.569
5000,0,Binaria,77.845
5000,0,Galopante,35.779
5000,1,Secuencial,2979.45
5000,1,Binaria,82.44
5000,1,Galopante,89.336
5000,2,Secuencial,5875.82
5000,2,Binaria,78.629
5000,2,Galopante,102.699
5000,3,Secuencial,8912.73
5000,3,Binaria,75.324
5000,3,Galopante,110.394
5000,4,Secuencial,13098.7
5000,4,Binaria,74.825
5000,4,Galopante,135.363
10000,0,Secuencial,32.574
10000,0,Binaria,76.041
10000,0,Galopante,33.06
10000,1,Secuencial,6065.95
10000,1,Binaria,87.756
10000,1,Galopante,106.639
10000,2,Secuencial,12389.8
10000,2,Binaria,84.644
10000,2,Galopante,151.439
10000,3,Secuencial,20095.6
10000,3,Binaria,96.369
10000,3,Galopante,130.489
10000,4,Secuencial,28683.8
10000,4,Binaria,91.019
10000,4,Galopante,165.592
15000,0,Secuencial,33.137
15000,0,Binaria,95.157
15000,0,Galopante,35.227
15000,1,Secuencial,8759.43
15000,1,Binaria,78.066
15000,1,Galopante,109.358
15000,2,Secuencial,18597.1
15000,2,Binaria,91.681
15000,2,Galopante,128.413
15000,3,Secuencial,26765.6
15000,3,Binaria,87.231
15000,3,Galopante,151.831
15000,4,Secuencial,44472
15000,4,Binaria,112.181
15000,4,Galopante,191.416
20000,0,Secuencial,30.07
20000,0,Binaria,81.793
20000,0,Galopante,30.422
20000,1,Secuencial,11604.3
20000,1,Binaria,92.678
20000,1,Galopante,112.446
20000,2,Secuencial,25080.3
20000,2,Binaria,95.725
20000,2,Galopante,130.632
20000,3,Secuencial,36174.4
20000,3,Binaria,92.174
20000,3,Galopante,134.006
20000,4,Secuencial,46941.8
20000,4,Binaria,77.506
20000,4,Galopante,150.032
25000,0,Secuencial,29.995
25000,0,Binaria,76.04
25000,0,Galopante,31.585
25000,1,Secuencial,19707.6
25000,1,Binaria,121.163
25000,1,Galopante,160.549
25000,2,Secuencial,32904.4
25000,2,Binaria,139.044
25000,2,Galopante,165.581
